Date,High,Low,Open,Close,Volume,Adj Close
13/10/2010,156.7899933,153.8500061,156.6900024,155.1699982,5632800,155.1699982
14/10/2010,156.9499969,154.2299957,155.1600037,155.5299988,4024100,155.5299988
15/10/2010,164.8800049,156.75,158.4199982,164.6399994,10135500,164.6399994
18/10/2010,165.1900024,161.8200073,165,163.5599976,6331300,163.5599976
19/10/2010,162.8000031,157,160.6799927,158.6699982,7525000,158.6699982
20/10/2010,159.8699951,156.5700073,158.7799988,158.6699982,5790400,158.6699982
21/10/2010,166.1300049,161.2899933,162.6699982,164.9700012,13482500,164.9700012
22/10/2010,170.1699982,162.2700043,162.4499969,169.1300049,16318400,169.1300049
25/10/2010,171.9900055,168.3200073,171.5700073,169,6530900,169
26/10/2010,171,167.5,167.5700073,169.9499969,4689600,169.9499969
27/10/2010,169.75,166.5399933,168.9100037,167.5099945,5721800,167.5099945
28/10/2010,168.4900055,165.0500031,168.3099976,166.8399963,4684400,166.8399963
29/10/2010,168.5,164.8099976,165.8000031,165.2299957,4998500,165.2299957
01/11/2010,164.5800018,161.5200043,164.4499969,162.5800018,5239900,162.5800018
02/11/2010,165.9400024,163.3600006,163.75,164.6100006,4260000,164.6100006
03/11/2010,168.6100006,162.2899933,165.3999939,168.4700012,6112100,168.4700012
04/11/2010,172.5299988,168.3999939,169.8600006,168.9299927,7395900,168.9299927
05/11/2010,171.6499939,168.5899963,169.3500061,170.7700043,5212200,170.7700043
08/11/2010,173.1999969,168.7799988,170.8399963,171.9900055,5706000,171.9900055
09/11/2010,173.1399994,169.0599976,172.6699982,170.2700043,3978600,170.2700043
10/11/2010,173.3699951,169.4100037,170.5899963,173.3300018,5440300,173.3300018
11/11/2010,172.0500031,169.4199982,171,170.3699951,5691700,170.3699951
12/11/2010,171.2599945,165.0500031,170.1199951,165.6799927,7160600,165.6799927
15/11/2010,165.3500061,158.5599976,165.1600037,158.8999939,9648600,158.8999939
16/11/2010,160.9100037,156.7700043,158.7400055,157.7799988,6571400,157.7799988
17/11/2010,160.8500061,157.5500031,157.8399963,158.3500061,4524900,158.3500061
18/11/2010,165,160.7400055,160.7400055,164.1699982,6225300,164.1699982
19/11/2010,164.9900055,162.8399963,163.9499969,164.8200073,4464800,164.8200073
22/11/2010,170.6000061,165,165.1000061,170.3899994,6142500,170.3899994
23/11/2010,168.8099976,164.6199951,168.6100006,168.1999969,6465300,168.1999969
24/11/2010,177.8899994,171.5299988,171.5299988,177.25,10042500,177.25
26/11/2010,178.3800049,176.1600037,177.3600006,177.1999969,4271600,177.1999969
29/11/2010,181.8399963,177.5700073,179.9900055,179.4900055,9695000,179.4900055
30/11/2010,177.6999969,174.8999939,176.9499969,175.3999939,6762200,175.3999939
01/12/2010,179.3200073,176,179.1600037,176.5500031,5770100,176.5500031
02/12/2010,177.4499969,173.9199982,176.8600006,176.5299988,5537600,176.5299988
03/12/2010,176.3999939,174.0500031,175.5,175.6799927,4907500,175.6799927
06/12/2010,178.4299927,174.6000061,175.5200043,178.0500031,5654200,178.0500031
07/12/2010,181.4700012,176.5700073,180.5,176.7700043,5077100,176.7700043
08/12/2010,178.1600037,175.1999969,177.4900055,176.2899933,3726900,176.2899933
09/12/2010,178.1100006,173.8000031,177.7700043,174.8500061,4555500,174.8500061
10/12/2010,175.9499969,173.3600006,174.8800049,175.6199951,3565500,175.6199951
13/12/2010,177.9400024,173.7299957,176.3300018,174.25,4202500,174.25
14/12/2010,175.7599945,173.0899963,174.2799988,173.9400024,3685300,173.9400024
15/12/2010,179,173.5899963,173.7200012,175.5700073,5810500,175.5700073
16/12/2010,178.3000031,175.0399933,175.5800018,178.0399933,4121500,178.0399933
17/12/2010,178.75,177.0200043,178.4100037,177.5800018,4507300,177.5800018
20/12/2010,183.9799957,178.0399933,179.2700043,183.2899933,8735300,183.2899933
21/12/2010,185.6499939,182.6000061,183.8800049,184.75,5111000,184.75
22/12/2010,185.4499969,184.1100006,185,184.7599945,2578100,184.7599945
23/12/2010,184.9799957,181.8899994,184.3399963,182.5899963,3358200,182.5899963
27/12/2010,183.1399994,180.4499969,181.8999939,182.1399994,2249400,182.1399994
28/12/2010,182.7700043,181.0500031,182.1000061,181.0899963,1975000,181.0899963
29/12/2010,184.3500061,180.4100037,181.8000031,183.3699951,3120100,183.3699951
30/12/2010,184.5500031,182.75,183.9199982,182.75,1961200,182.75
31/12/2010,182.3000031,179.5099945,181.9600067,180,3451900,180
03/01/2011,186,181.2100067,181.3699951,184.2200012,5331400,184.2200012
04/01/2011,187.6999969,183.7799988,186.1499939,185.0099945,5031800,185.0099945
05/01/2011,187.4499969,184.0700073,184.1000061,187.4199982,3418800,187.4199982
06/01/2011,187.4100037,185.25,186.5,185.8600006,3179700,185.8600006
07/01/2011,188.4499969,183.7400055,187.8800049,185.4900055,5221700,185.4900055
10/01/2011,185.2899933,182.5099945,185.0399933,184.6799927,3375900,184.6799927
11/01/2011,186,183.2100067,185.4199982,184.3399963,2814200,184.3399963
12/01/2011,185.3800049,183.3000031,185.3600006,184.0800018,2679100,184.0800018
13/01/2011,186.4499969,183.5099945,183.6000061,185.5299988,3367000,185.5299988
14/01/2011,188.9400024,184.9199982,185.5,188.75,3662800,188.75
18/01/2011,191.6000061,188.25,188.6600037,191.25,3896200,191.25
19/01/2011,191,186.2100067,190.8999939,186.8699951,3882400,186.8699951
20/01/2011,186.8500061,181,185.2899933,181.9600067,5709900,181.9600067
21/01/2011,183.25,176.8399963,183,177.4199982,6806200,177.4199982
24/01/2011,178.4900055,174.1499939,177.9499969,176.8500061,5600300,176.8500061
25/01/2011,176.75,174.2799988,175.5,176.6999969,4651000,176.6999969
26/01/2011,177.8899994,174.6300049,177.5099945,175.3899994,3762200,175.3899994
27/01/2011,185,177.3099976,177.4799957,184.4499969,14594400,184.4499969
28/01/2011,173.7100067,166.8999939,171.4499969,171.1399994,19908200,171.1399994
31/01/2011,171.4400024,167.4100037,170.1600037,169.6399994,6718100,169.6399994
01/02/2011,173.1000061,169.5099945,170.5200043,172.1100006,5085900,172.1100006
02/02/2011,175.1999969,170.8699951,171.4199982,173.5299988,4547500,173.5299988
03/02/2011,174.6699982,171.9499969,173.5,173.7100067,3678900,173.7100067
04/02/2011,177.1900024,173.75,174,175.9299927,4347800,175.9299927
07/02/2011,177.5500031,174.7700043,176.1499939,176.4299927,5254700,176.4299927
08/02/2011,183.1100006,176.5899963,176.6600037,183.0599976,7794900,183.0599976
09/02/2011,186.4700012,182.2599945,183.1499939,185.3000031,8312700,185.3000031
10/02/2011,187.2400055,183.6000061,184.3899994,186.2100067,5331400,186.2100067
11/02/2011,189.5,185.3699951,185.5599976,189.25,4487900,189.25
14/02/2011,191.3999939,188.3500061,189.25,190.4199982,4061300,190.4199982
15/02/2011,190.4900055,188.25,188.7299957,189.0299988,3890900,189.0299988
16/02/2011,190,186.3500061,189.7700043,186.6199951,4628200,186.6199951
17/02/2011,189.0899963,185.3099976,185.7700043,187.7599945,3425500,187.7599945
18/02/2011,188.5,185.1300049,187.5399933,186.5,4178600,186.5
22/02/2011,184.7200012,179.3200073,183.6799927,180.4199982,5637100,180.4199982
23/02/2011,181.1499939,174.3899994,180.25,176.6799927,5482000,176.6799927
24/02/2011,179.75,174.5599976,176.8600006,177.75,4656500,177.75
25/02/2011,180.75,177.1000061,178.9499969,177.2400055,4191400,177.2400055
28/02/2011,175.8899994,172.1499939,173.9100037,173.2899933,6783200,173.2899933
01/03/2011,173.9600067,168.6699982,173.5299988,169.4400024,5847100,169.4400024
02/03/2011,173.3000031,168.3500061,169.0899963,172.0200043,5185700,172.0200043
03/03/2011,174.4600067,172.0500031,173.7100067,172.7899933,4138200,172.7899933
04/03/2011,172.75,169.5099945,172.6199951,171.6699982,4924300,171.6699982
07/03/2011,172.0899963,166.2400055,171.9199982,169.0800018,5932900,169.0800018
08/03/2011,169.7100067,166.7200012,169.3899994,166.8899994,4219000,166.8899994
09/03/2011,169.75,163.8999939,166.6699982,169.0500031,7108900,169.0500031
10/03/2011,168.4700012,164.8200073,167.0700073,166.1399994,5998400,166.1399994
11/03/2011,169.1999969,164.1199951,165.5,168.0700073,4609900,168.0700073
14/03/2011,168.0800018,164.5700073,166.6000061,166.7299957,4022000,166.7299957
15/03/2011,166.8800049,160.7599945,161.3899994,165.0800018,4934500,165.0800018
16/03/2011,168.1399994,162.8699951,164.6999969,164.6999969,5208100,164.6999969
17/03/2011,166.3000031,160.7799988,165.9100037,160.9700012,6471400,160.9700012
18/03/2011,163.5399933,160.5899963,161.1900024,161.8200073,7442700,161.8200073
21/03/2011,165.7899933,161.7200012,163.3699951,164.5200043,4055100,164.5200043
22/03/2011,164.4400024,162.25,164.0700073,162.6000061,3611400,162.6000061
23/03/2011,166.2599945,160.8200073,162.3000031,165.3200073,4721300,165.3200073
24/03/2011,172,167.3600006,168.2100067,171.1000061,6283200,171.1000061
25/03/2011,173.4900055,170.3000031,171.6399994,170.9799957,4293800,170.9799957
28/03/2011,172.5,169.25,171.8000031,169.3500061,3400800,169.3500061
29/03/2011,174.8399963,170.0700073,170.7299957,174.6199951,4884600,174.6199951
30/03/2011,181.1600037,177.6600037,177.7799988,179.4199982,6859300,179.4199982
31/03/2011,181.5700073,178.5,179.3099976,180.1300049,4826500,180.1300049
01/04/2011,183.25,178.5899963,181.5800018,180.1300049,5684100,180.1300049
04/04/2011,183.6100006,180.6900024,180.8899994,182.9400024,4186400,182.9400024
05/04/2011,186.3600006,181.8000031,182.1000061,185.2899933,5569200,185.2899933
06/04/2011,188.2700043,181.1199951,186.1499939,182.7599945,5430700,182.7599945
07/04/2011,185.1699982,181.7599945,182.7799988,184.9100037,4564000,184.9100037
08/04/2011,186.2200012,182.7799988,185.2599945,184.7100067,3726400,184.7100067
11/04/2011,186.4900055,181.8500061,184.8600006,184.0399933,3297100,184.0399933
12/04/2011,184.5899963,179.4199982,183.0599976,180.4799957,5334500,180.4799957
13/04/2011,182.8800049,179.8000031,180.8300018,182.2899933,4216300,182.2899933
14/04/2011,182.0800018,179.3600006,181.3899994,181.8200073,3588200,181.8200073
15/04/2011,181.7799988,179.0200043,181,180.0099945,4272400,180.0099945
18/04/2011,178.9100037,175.3699951,178.3800049,178.3399963,4616500,178.3399963
19/04/2011,179.4700012,176.6000061,178.3500061,178.8200073,2646000,178.8200073
20/04/2011,185,181.5899963,181.6199951,183.8699951,4067500,183.8699951
21/04/2011,185.9700012,183.0500031,184.5599976,185.8899994,3348100,185.8899994
25/04/2011,186.3500061,183.7700043,185.6499939,185.4199982,3438100,185.4199982
26/04/2011,186.4199982,180.7400055,186.2700043,182.3000031,11200000,182.3000031
27/04/2011,197.8000031,182.75,183.1999969,196.6300049,23623000,196.6300049
28/04/2011,196.7899933,192.2700043,195.9600067,195.0700073,7300000,195.0700073
29/04/2011,196.5899963,193.7799988,194.3800049,195.8099976,6640900,195.8099976
02/05/2011,203.4199982,196.1799927,196.5700073,201.1900024,9398100,201.1900024
03/05/2011,202.5899963,196.6900024,201,198.4499969,6100000,198.4499969
04/05/2011,201.8600006,195.3699951,198.25,199.9700012,6550000,199.9700012
05/05/2011,201,196.1199951,198.6600037,197.1100006,4600000,197.1100006
06/05/2011,199.5599976,196.5599976,199.1000061,197.6000061,4013900,197.6000061
