Date,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AAL,AMGN,ADI,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CELG,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,COST,CSX,CTRP,DLTR,EBAY,EA,EXPE,FB,FAST,FISV,FOX,GILD,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KLAC,LRCX,LBTYA,LBTYK,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MDLZ,MNST,MYL,NTAP,NTES,NFLX,NVDA,ORLY,PCAR,PAYX,PYPL,PEP,QCOM,REGN,ROST,SIRI,SWKS,SBUX,SYMC,SNPS,TMUS,TTWO,TSLA,TXN,KHC,ULTA,UAL,VRSN,VRSK,VRTX,WBA,WDC,WLTW,WDAY,WYNN,XEL,XLNX
14/08/2015,27.90618515,86.12000275,1.840000033,186.5800018,60.56999969,689.3699951,657.1199951,531.5200195,41.43811798,152.4676666,53.8214035,109.0530472,15.65613556,89.86821747,54.86000061,76.25325012,164.2400055,312.6099854,135.5099945,1283.800049,112.4060059,21.55999947,129.2400055,64.25,179.8200073,80.81999969,84.46952057,25.71413994,61.34704208,65.67918396,26.77091599,135.0605316,27.58815765,35.79000092,77.77999878,28.15472031,72.81999969,117.4825363,94.41999817,36.37625885,44.79000092,28.72777748,104.5274963,73.9595108,56.90196228,77.61000061,208.0700073,105.8000031,26.29688263,101.573204,176.6233368,77.66072083,46.49764252,68.25553131,52.02000046,48.16999817,65.16999817,68.27115631,29.93592262,118.7263107,39.85358047,16.95000076,43.21894455,43.23439789,50.13333511,54.36000061,28.35905647,119.684761,123.3899994,22.95330238,254.3699951,54.20822144,43.10863876,38.13999939,88.71595001,53.12486649,576.2999878,51.77226257,3.864139557,84.58799744,53.52778244,16.28857422,51.63999939,40.46327972,30.71999931,243.1499939,46.22301865,67.26494598,171.0399933,58.52999878,71.08999634,76.65088654,136.8800049,85.34461212,72.44606781,115.8536453,84.18000031,85.83963776,31.65385437,40.19591904
17/08/2015,28.50945854,86.76999664,1.799999952,191.2200012,60.88000107,694.1099854,660.8699951,535.2199707,42.47213364,154.349411,54.42510605,110.181572,16.02307892,90.33361053,55.40000153,77.82447052,167.4299927,316.0799866,139.4400024,1306.560059,115.6871185,21.79999924,131.2100067,64.54000092,186.9799957,82.20999908,85.08998108,25.53698921,61.49734497,66.14853668,27.46656036,135.0605316,27.64404106,36.39500046,78.48000336,28.18460846,73.69999695,118.7959442,93.93000031,36.51195526,45.05500031,28.95829391,105.2689667,73.87703705,57.20000076,78.66000366,207.9100037,114.5999985,26.35125542,101.5155029,177.6833344,77.46743011,47.06978607,69.83261108,52.65000153,48.68000031,66.37000275,69.30686188,30.07818604,120.0846024,40.06531143,17.21999931,43.51319885,42.96470261,50.23666763,55.49000168,28.1653862,117.7476196,125.3600006,22.80703735,254.6399994,54.30299759,43.17111969,38.72999954,89.27920532,53.26216888,576.7600098,52.52396774,3.873946905,86.32533264,54.12774658,16.48464394,52.13000107,41.21895981,31.59000015,254.9900055,46.46033859,66.71923828,171.3899994,59.59999847,71.19000244,76.57103729,139.6100006,86.23767853,73.41201782,116.3796616,84.80000305,85.5974884,31.82184982,40.63997269
18/08/2015,28.43161392,86.44999695,1.799999952,187.4199982,60.52000046,688.7299805,656.1300049,535.0200195,42.16289139,152.4676666,52.96157455,109.5608826,15.64450645,90.02335358,54.59000015,77.8152771,166.1100006,312.1300049,137.2299957,1291.829956,112.6640701,21.62000084,130.1999969,65.59999847,188.8099976,82.54000092,84.82270813,25.02323532,61.7742157,66.33432007,27.13920403,134.6353149,27.58815765,34.63999939,79.37000275,27.66654587,73.84999847,119.0953293,95.16999817,36.83763504,45.13999939,28.86224556,105.8476715,73.65709686,57.76862717,78.40000153,207,113.9700012,26.19721031,101.6693802,176.5666656,77.27412415,45.58039856,67.84252167,52.45000076,48.43999863,66.69999695,69.01128387,29.71936035,116.9218674,39.52215576,16.37999916,43.75386429,42.91820908,50.17333221,55.75,27.92560005,116.3137512,124.0500031,22.5989666,254.4499969,54.22545624,43.24251938,37.99000168,89.19873047,52.61857986,569.6699829,54.48035812,3.864139557,81.36016846,54.21211243,16.32628441,51.97999954,41.25821686,31.11000061,260.7200012,45.55667877,66.18232727,173.3200073,58.50999832,70.93000031,77.08005524,139.7599945,85.5306778,73.15735626,116.2544327,82.58000183,84.65685272,31.75110626,39.74261093
19/08/2015,28.19809151,85.48000336,1.799999952,184.9600067,59.72999954,694.039978,660.9000244,532.9199829,42.06626511,151.4222412,53.40063858,108.1596375,15.55932713,88.15209961,54.31999969,77.61312103,162.8899994,315.8200073,135.6999969,1291.349976,111.9359589,21.62999916,129.0599976,65,188.1999969,81.13999939,83.65814209,24.62462997,61.40241623,65.54229736,27.24376869,134.210022,26.9361763,34.06499863,80.91999817,27.32781219,71.61000061,118.9214859,95.30999756,36.49386978,44.90000153,28.63173294,105.0790863,72.92401123,57.53333282,78.20999908,205.6499939,112.4000015,25.69882202,102.198288,175.5399933,76.81018829,45.41693878,67.97390747,52.04000092,48.08000183,65.36000061,68.56317139,29.52200699,112.9164047,39.29199219,15.89999962,43.14295959,42.04403687,49.08333206,55.09000015,27.46447945,115.9244232,122.0599976,22.51084328,256.4700012,53.82914734,42.84980392,37.18999863,88.50138855,52.49845505,568.9099731,53.68045807,3.824909687,82.81270599,53.98713684,16.48464394,52.29999924,41.08156586,30.35000038,255.25,44.90861511,65.82141876,172.6199951,58.22999954,70.58000183,77.49923706,141.4799957,85.03762054,71.75234222,115.0520554,82.37999725,84.05149841,32.1136322,39.31705856
20/08/2015,27.22507286,82.69000244,1.700000048,178.6199951,58.02000046,679.4799805,646.8300171,515.7800293,40.56837463,146.4951324,49.2295723,105.9402084,15.12396908,84.77804565,53.09999847,75.99598694,157.3999939,309.8999939,129.0099945,1257.540039,106.0188828,20.46999931,124.9599991,63.27000046,182.7400055,79.88999939,82.66539764,23.95144653,60.01013947,64.24181366,26.5390377,132.8602753,26.41459274,32.30500031,80.37999725,26.42120171,67.70999908,114.6335983,90.55999756,35.62540054,44.20999908,27.54639626,101.6249695,71.34788513,55.92549133,75.83000183,200.4299927,107.5199966,24.94670296,98.98627472,171.406662,75.45705414,43.99113083,66.66905975,50.36999893,46.77999878,62.95999908,66.74207306,28.70569038,106.9577637,38.23328018,14.73999977,42.26361465,40.91876984,48.20000076,53.02999878,28.38672447,113.6929169,112.4899979,21.69814301,251.3200073,52.39898682,42.21612167,35.97999954,87.5983963,51.61461258,546.6500244,53.24677277,3.726834536,78.26526642,52.31848526,16.10004807,48.59999847,39.98239517,29.37999916,242.1799927,43.29299927,65.35492706,171.3000031,56.59000015,69.15000153,75.21367645,132.9100037,83.51194763,70.06633759,113.9498672,77.01999664,79.70223999,31.83953285,38.16992569
21/08/2015,26.48557663,78.87000275,1.779999971,173.8099976,56.45000076,644.0300293,612.4799805,494.4700012,38.4133606,141.0771179,49.19298553,99.46059418,14.65075302,83.29462433,51.75999832,72.79847717,152.9100037,295.6400146,126.1699982,1216.920044,102.7193298,19.79999924,119.0500031,61.72000122,177.5299988,76.90000153,81.01399231,23.44654655,58.46756744,61.45506668,25.81611252,128.4966125,25.50181389,31.63500023,76.34999847,25.67399597,65.52999878,110.5871506,86.05999756,35.44446564,42.43500137,26.81643486,95.24120331,68.89202881,54.15686417,74.19999695,199.9499969,104.3099976,24.06772232,85.85925293,168.9466705,73.63030243,43.31909561,65.47686005,48.43999863,45.25,61.95000076,66.10323334,28.24819183,105.6292343,37.59805679,14.52999973,39.86627197,40.17480469,46.30333328,51.5,27.86104584,108.4322739,103.9599991,21.02252197,238.1699982,50.34851456,40.77916718,34.25,86.05168915,49.43503189,527.1799927,48.18712234,3.648375511,75.06591797,49.53429031,15.81349087,47.52000046,39.38373566,28.87999916,230.7700043,41.95121384,63.61212921,162.5700073,55.09000015,67.80999756,73.776474,125.4700012,79.64193726,69.75896454,111.7956238,71.83999634,76.15392303,31.44165802,37.37434006
24/08/2015,25.45417595,74.26999664,1.75,166.8500061,54.54999924,618.1099854,589.6099854,463.3699951,36.3549881,134.2137146,47.26294708,96.97783661,14.29111004,82.70320129,49.38999939,70.08794403,141.0800018,278.3500061,119.6800003,1174.119995,101.3276215,19,113.3799973,60.63000107,171.5,74.79000092,77.82574463,22.31275177,53.01713562,58.50209045,24.73855019,122.9310837,24.46795845,30.25,73.70999908,24.83712578,63.70000076,104.6285095,82.08999634,33.83417511,40.70500183,25.78872681,91.01851654,65.22657776,52.27843094,70.86000061,191.7700043,97.37000275,23.78681183,81.02199554,163.6033325,72.22882843,42.65613937,63.19573975,46.66999817,43.74000168,59.06999969,63.58610916,27.57540512,102.6052933,36.95362473,14.43999958,38.57966614,39.02162933,45.15333176,49.81000137,27.54748154,101.7377396,96.87999725,20.27836227,231.8500061,48.58235168,39.26189423,33.75,82.10003662,47.43567276,504.5799866,46.57767868,3.530685425,76.43299103,47.1906929,15.19826603,45.70000076,38.00976944,27.82999992,218.8699951,40.97454453,62.37984085,158.7200012,52.33000183,65.94000244,71.44101715,119.2699966,76.53477478,67.54607391,108.3388062,69.33999634,71.22724152,30.15073967,36.49548721
25/08/2015,25.47364044,74.56999969,1.659999967,165.4400024,54.22999954,612.4699707,582.0599976,466.3699951,36.23901749,131.9865112,46.29335022,97.56092072,14.04503727,84.36113739,48.16999817,67.55200195,136.9900055,281.75,121.1399994,1178.810059,100.0096359,18.75,112.6999969,60.24000168,171.2899933,77.59999847,77.53937531,21.80785561,52.36846161,57.67096329,24.4839325,122.690712,23.57380867,31.85000038,73.16000366,25.13600731,63.54000092,104.9382553,83,33.47230911,40.03499985,25.83675385,92.73652649,65.54730225,51.85490036,69.94000244,189.6399994,101.6500015,23.44247055,76.80980682,164.8200073,69.91882324,42.06583786,63.27083588,46.43000031,43.61000061,58.70000076,63.46216583,27.54849243,101.2866821,36.42887497,14.27000046,37.45967102,38.4171524,44.78666687,49.11000061,26.80968475,106.8464584,101.5199966,19.85732651,231.6900024,48.16019821,38.30688858,32.70000076,80.14208221,46.23433685,499.019989,45.50791931,3.560108185,76.48046875,47.89377213,15.10712528,44.97999954,37.42092896,27.62999916,220.0299988,39.72403717,61.79890823,153.2599945,52.09999847,65.91999817,70.63259125,121.1699982,75.35332489,66.00055695,107.3117828,70.01999664,70.51013184,29.24887276,35.87566757
26/08/2015,26.55368996,77.33000183,1.720000029,173.5399933,55.95000076,659.7399902,628.6199951,500.769989,37.54362488,139.9771423,49.99055862,103.1565094,14.42360973,85.70881653,49.13000107,71.48455811,142.3999939,298.25,128.1000061,1223.459961,107.0972137,19.51000023,119.2300034,61.63000107,177.6000061,79.51999664,80.19307709,22.74678612,54.11671448,60.78038406,25.1886692,127.729248,24.5610981,32.04000092,77.33999634,26.07250595,66.33999634,111.539238,87.19000244,34.44934464,42.31499863,26.40343285,96.71508026,66.70192719,53.83137131,71.93000031,195.6999969,108.4899979,24.73828506,80.09876251,169.4833374,70.43108368,43.6914444,66.41561127,46.90000153,44.06999969,60.31000137,66.66577911,29.09142303,103.8644485,37.82821274,14.42000008,39.53305054,39.24481964,46.19666672,51.13000107,28.20227242,106.2268066,110.1299973,21.35543442,239.0299988,50.21066666,39.82417297,33.16999817,82.69010162,48.61985779,535.4699707,47.15592575,3.648375511,81.78740692,50.58422089,15.66918182,46.70999908,38.23549271,28.29999924,224.8399963,41.44918442,65.05564117,158.0500031,53.95000076,68.08000183,72.50894165,130.1100006,79.45589447,69.04767609,108.0131607,72.40000153,69.18766022,29.6556015,38.15142822
27/08/2015,27.17642212,78.91000366,1.779999971,179.8200073,56.81999969,667.960022,637.6099854,518.3699951,37.71757126,141.5589142,52.07426453,106.1941147,15.08611012,89.11196899,50,71.69589233,152.0599976,304.4899902,130.8899994,1252.01001,116.3691635,19.94000053,123.0400009,61.43999863,181.6499939,79.61000061,81.6153717,23.18081665,55.0501709,62.38398743,25.8115654,129.6244965,25.78024292,34.97999954,76.79000092,26.99904251,67.16000366,113.6782455,89.73000336,35.26353455,43.27999878,26.82604027,97.64640808,68.85536194,54.38431549,73.41999817,201.9400024,113.8499985,25.11886978,83.28194427,171.8566742,71.04967499,45.03551865,68.63102722,49.06000137,45.56999969,62.63999939,67.80039978,29.95259285,111.012825,39.33802032,15.67000008,40.63454056,39.76560211,46.66999817,51.49000168,28.94929695,115.2164993,117.6600037,22.15834236,242.9600067,51.3306694,40.38645935,34.61999893,83.68248749,49.22052383,538,47.87873077,3.717026949,85.22407532,52.44972992,15.8894453,46.93999863,39.19726563,28.92000008,242.9900055,42.95526886,66.17351532,160.2400055,53.36000061,69.84999847,74.10583496,133.75,81.72579193,71.4888916,110.2926712,75.37000275,73.12712097,30.06232262,39.09503555
28/08/2015,28.43161392,79.40000153,1.850000024,178.8600006,57.27000046,659.6900024,630.3800049,518.0100098,37.32135773,141.7134552,52.04660034,106.5420685,15.1334343,89.17983246,47.52000046,72.04503632,152.1300049,303.6900024,133.1799927,1259.390015,117.622612,20.13999939,124.0400009,63.13000107,181.5899963,78.86000061,81.49127197,23.03023148,54.33821106,62.30576324,25.81611252,129.3841095,26.070961,34.75,76.73000336,27.14848328,67.91000366,112.7684402,91.01000214,35.00117874,43.38999939,26.97010994,97.45653534,69.19442749,54.66666794,73.20999908,201.6999969,119.9300003,25.75318527,82.90689087,171.4133301,71.04967499,45.30796051,68.45267487,49.31999969,45.79000092,63.16999817,68.2485199,30.58950233,112.2223892,39.80754852,15.96000004,40.66230011,39.80280685,46.81000137,50.36999893,29.16140938,112.4042511,117.6299973,22.25626183,240.9900055,51.21867371,40.11870956,35.04000092,83.61990356,49.29774857,536.7000122,47.6088829,3.756257534,84.13231659,52.14975357,15.8286829,47.09999847,39.25615311,29.78000069,248.4799957,43.80415344,65.74219513,159,57.11999893,69.55000305,73.79644012,134.0500031,81.32576752,71.37472534,108.6393814,72.76000214,72.82910919,30.01811028,39.10428619
31/08/2015,27.85753441,78.56999969,1.809999943,172.1900024,56.59999847,647.8200073,618.25,512.8900146,37.66925812,137.9772186,51.50263214,106.0436554,15.22807789,88.24905396,46.75,71.04351044,147.25,297.2999878,129.2400055,1248.640015,116.10186,20.02000046,118.0800018,61.75999832,181.6100006,78.01000214,81.12854004,22.92393875,53.87939453,61.54307175,25.61151123,129.4765472,25.67708206,33.22499847,76.26000214,27.00900459,66.15000153,111.2972412,89.43000031,34.86548615,42.63499832,26.56671143,95.00611115,68.35137177,53.6509819,71.47000122,197.6100006,116.1900024,25.86192894,82.46451569,170.3166656,70.34410095,45.50776291,68.31185913,48.11999893,44.86999893,64.01000214,67.37135315,30.20375633,109.1092377,39.12628174,16.40999985,40.28279877,39.39361572,46.15333176,49.59000015,29.47497177,105.9884796,115.0299988,22.01147461,240.0700073,50.80513763,39.85987473,35,83.08347321,48.96027374,513.5,46.85715866,3.746449709,82.92662048,51.28730011,15.56284428,46.93000031,38.87340546,29.12999916,249.0599976,43.66723633,63.95540619,158.0899963,56.97000122,68.94000244,72.93811035,127.5199966,80.51641083,71.97187805,107.9380188,70.26000214,69.89545441,29.82359505,38.75274658
